time,means,sd,se
231,64.73620257,13.5509227,4.516974233
233,64.78244972,13.53469984,4.511566613
235,64.80494918,13.49920131,4.499733772
237,64.88891508,13.52036199,4.506787331
239,64.81996625,13.55031212,4.516770708
241,64.77073626,13.58771113,4.529237045
243,64.8504833,13.57149024,4.523830079
245,64.80344991,13.55617681,4.518725604
247,64.7655882,13.56312171,4.521040571
249,64.7837084,13.59038023,4.530126745
251,64.83630477,13.60294618,4.534315393
253,64.82591276,13.57002486,4.523341619
255,64.81209684,13.54148793,4.513829311
257,64.76853792,13.49537018,4.498456725
259,64.83078363,13.51534918,4.505116394
261,64.78168788,13.55021642,4.516738808
263,64.81881216,13.579749,4.526583
265,64.91419865,13.58175183,4.527250611
267,64.91435032,13.5942273,4.531409099
269,64.9060259,13.57416029,4.524720097
271,64.87775775,13.60755565,4.535851884
273,64.90360092,13.66699584,4.555665282
275,64.90364625,13.59125137,4.530417125
277,64.85071691,13.62883309,4.542944362
279,64.87476793,13.61235449,4.537451498
281,64.9103145,13.60769114,4.535897048
283,64.96226235,13.53126167,4.510420558
285,65.04286188,13.56378937,4.521263123
287,65.00220037,13.52648065,4.508826882
289,64.92825689,13.54473653,4.514912178
291,64.90491191,13.54611161,4.515370536
293,64.94937563,13.55139867,4.51713289
295,64.97389387,13.52464756,4.508215854
297,64.99076236,13.59054273,4.530180909
299,64.96096182,13.59302556,4.53100852
301,64.95076332,13.59163098,4.530543661
303,64.94138593,13.56669621,4.52223207
305,64.98018556,13.55798849,4.519329497
307,65.02961254,13.59445884,4.531486281
309,65.04115515,13.5712889,4.523762966
311,65.01345533,13.58233093,4.527443644
313,64.97485967,13.59428082,4.53142694
315,64.97915873,13.65727591,4.552425304
317,65.00616122,13.60991135,4.536637117
319,65.08837857,13.5886903,4.529563433
321,65.03092179,13.58789199,4.529297331
323,65.02099525,13.57748564,4.525828546
325,65.05483509,13.60608502,4.535361672
327,65.03763711,13.66758192,4.55586064
329,64.99146318,13.70215901,4.567386338
331,65.02678834,13.65519917,4.551733057
333,65.08738661,13.58144947,4.527149822
335,65.01482036,13.59912083,4.533040276
337,64.98501459,13.62255246,4.540850821
339,64.90338126,13.61850212,4.539500706
341,64.94957611,13.61577967,4.538593223
343,65.00456782,13.58598221,4.528660735
345,65.01574084,13.60573174,4.535243915
347,65.00096086,13.59993915,4.533313049
349,65.02804877,13.64052696,4.546842319
351,65.04360802,13.60028773,4.533429243
353,65.06740104,13.5761874,4.525395799
355,65.03903875,13.59959914,4.533199713
357,65.10141173,13.63076607,4.543588689
359,65.17621293,13.58976276,4.529920919
361,65.16029107,13.63395061,4.544650202
363,65.03998363,13.60780606,4.535935352
365,65.06415844,13.61410867,4.538036225
367,65.06705934,13.65786228,4.552620758
369,65.06864752,13.60582566,4.535275219
371,65.13263483,13.60098679,4.533662262
373,65.15243561,13.59221721,4.530739069
375,65.08469665,13.63420417,4.544734724
377,65.11702676,13.66317253,4.554390843
379,65.16317454,13.67459206,4.558197353
381,65.16605453,13.59672411,4.532241372
383,65.13230011,13.63437461,4.544791536
385,65.03079627,13.67336369,4.557787896
387,65.03674801,13.64245658,4.547485526
389,65.04662399,13.63177264,4.543924215
391,65.12303603,13.61643475,4.538811583
393,65.09860147,13.65996227,4.553320755
395,65.12128224,13.62946929,4.54315643
397,65.14432039,13.61916169,4.539720563
399,65.08446478,13.62509731,4.541699104
401,65.15145237,13.62125951,4.540419838
403,65.17622688,13.66096032,4.55365344
405,65.09725039,13.62639634,4.542132113
407,65.14124864,13.61608802,4.538696006
409,65.13806531,13.61182187,4.537273957
