time,dp,temp
4219.00,10.871817,28.50216
4220.00,11.095018,28.50360
4221.00,11.368749,28.50402
4222.00,11.683243,28.50405
4223.00,12.029267,28.50412
4224.00,12.400885,28.50432
4225.00,12.792341,28.50465
4226.00,13.196204,28.50532
4227.00,13.609159,28.50556
4228.00,14.034934,28.50596
4229.00,14.462396,28.50428
4230.00,14.890888,28.50351
4231.00,15.307776,28.50501
4232.00,15.702282,28.50459
4233.00,16.070856,28.50370
4234.00,16.416100,28.50381
4235.00,16.735607,28.50336
4236.00,17.021610,28.50335
4237.00,17.276995,28.50345
4238.00,17.508275,28.50232
4239.00,17.713281,28.50206
4240.00,17.902029,28.50118
4241.00,18.075784,28.50120
4242.00,18.223820,28.50140
4243.00,18.347685,28.50211
4244.00,18.444110,28.50354
4245.00,18.514057,28.50429
4246.00,18.562326,28.50432
4247.00,18.590578,28.50425
4248.00,18.600851,28.50410
4249.00,18.593888,28.50419
4250.00,18.570639,28.50456
4251.00,18.532050,28.50384
4252.00,18.480560,28.50454
4253.00,18.416825,28.50392
4254.00,18.340424,28.50361
4255.00,18.252337,28.50277
4256.00,18.155152,28.50414
4257.00,18.047328,28.50391
4258.00,17.930408,28.50232
4259.00,17.806436,28.50304
4260.00,17.675602,28.50381
4261.00,17.537493,28.50326
4262.00,17.391753,28.50517
4263.00,17.240926,28.50478
4264.00,17.086918,28.50341
4265.00,16.929638,28.50369
4266.00,16.768060,28.50332
4267.00,16.604132,28.50367
4268.00,16.437742,28.50414
4269.00,16.269435,28.50298
4270.00,16.099707,28.50239
4271.00,15.929642,28.50326
4272.00,15.759637,28.50376
4273.00,15.589751,28.50444
4274.00,15.420067,28.50344
4275.00,15.250727,28.50413
4276.00,15.083735,28.50369
4277.00,14.918117,28.50410
4278.00,14.754393,28.50389
4279.00,14.593405,28.50311
4280.00,14.434584,28.50364
4281.00,14.277121,28.50431
4282.00,14.124401,28.50494
4283.00,13.974334,28.50318
4284.00,13.826753,28.50313
4285.00,13.682809,28.50394
4286.00,13.542693,28.50418
4287.00,13.406494,28.50326
4288.00,13.272922,28.50363
4289.00,13.143717,28.50326
4290.00,13.018009,28.50414
4291.00,12.895322,28.50394
4292.00,12.776927,28.50274
4293.00,12.661929,28.50315
4294.00,12.550716,28.50327
4295.00,12.443558,28.50343
4296.00,12.341007,28.50370
4297.00,12.241921,28.50278
4298.00,12.145500,28.50335
4299.00,12.052732,28.50322
4300.00,11.963854,28.50340
4301.00,11.878747,28.50334
4302.00,11.797480,28.50378
4303.00,11.719240,28.50437
4304.00,11.644505,28.50397
4305.00,11.572677,28.50376
4306.00,11.503553,28.50343
4307.00,11.438153,28.50401
4308.00,11.375835,28.50313
4309.00,11.316314,28.50378
4310.00,11.259020,28.50368
4311.00,11.205105,28.50401
4312.00,11.153798,28.50387
4313.00,11.104209,28.50319
4314.00,11.058364,28.50262
4315.00,11.014316,28.50339
4316.00,10.971999,28.50256
4317.00,10.932934,28.50305
4318.00,10.896250,28.50322
4319.00,10.860461,28.50320
4320.00,10.826303,28.50285
4321.00,10.795095,28.50319
4322.00,10.765621,28.50313
4323.00,10.738060,28.50302
4324.00,10.712241,28.50304
4325.00,10.687987,28.50317
4326.00,10.665187,28.50333
4327.00,10.643717,28.50378
4328.00,10.623709,28.50345
4329.00,10.604566,28.50379
4330.00,10.586582,28.50316
4331.00,10.569249,28.50304
4332.00,10.553634,28.50317
4333.00,10.540443,28.50378
4334.00,10.526609,28.50315
4335.00,10.513039,28.50387
4336.00,10.502437,28.50356
4337.00,10.491782,28.50416
4338.00,10.482405,28.50398
4339.00,10.473482,28.50441
4340.00,10.464694,28.50314
4341.00,10.456963,28.50323
4342.00,10.449800,28.50366
4343.00,10.442371,28.50319
4344.00,10.435364,28.50426
4345.00,10.429713,28.50349
4346.00,10.424239,28.50379
4347.00,10.419710,28.50353
4348.00,10.415562,28.50536
4349.00,10.412553,28.50386
4350.00,10.408985,28.50481
4351.00,10.406424,28.50473
4352.00,10.403934,28.50342
4353.00,10.401595,28.50364
4354.00,10.399798,28.50406
4355.00,10.397332,28.50348
4356.00,10.396067,28.50408
4357.00,10.395198,28.50418
4358.00,10.393753,28.50346
4359.00,10.392295,28.50382
4360.00,10.391302,28.50373
4361.00,10.390587,28.50389
4362.00,10.390607,28.50401
4363.00,10.390221,28.50258
4364.00,10.390317,28.50335
4365.00,10.389828,28.50434
4366.00,10.389730,28.50447
4367.00,10.388944,28.50443
4368.00,10.387991,28.50367
4369.00,10.388320,28.50385
4370.00,10.389170,28.50383
4371.00,10.389478,28.50358
4372.00,10.389858,28.50386
4373.00,10.390819,28.50419
4374.00,10.390806,28.50336
4375.00,10.390139,28.50347
4376.00,10.390038,28.50293
4377.00,10.391386,28.50336
4378.00,10.392118,28.50405
4379.00,10.392317,28.50337
4380.00,10.393060,28.50337
4381.00,10.392285,28.50352
4382.00,10.392191,28.50337
4383.00,10.393236,28.50323
4384.00,10.394427,28.50324
4385.00,10.394869,28.50305
4386.00,10.394992,28.50378
4387.00,10.395560,28.50323
4388.00,10.396362,28.50349
4389.00,10.396877,28.50379
4390.00,10.396751,28.50447
4391.00,10.396018,28.50437
4392.00,10.396629,28.50304
4393.00,10.397176,28.50403
4394.00,10.397917,28.50387
4395.00,10.398305,28.50412
4396.00,10.397515,28.50416
4397.00,10.397809,28.50395
4398.00,10.397849,28.50426
4399.00,10.398282,28.50287
4400.00,10.397923,28.50399
4401.00,10.398164,28.50342
4402.00,10.399004,28.50334
4403.00,10.399439,28.50293
4404.00,10.399189,28.50333
4405.00,10.399774,28.50345
4406.00,10.400768,28.50274
4407.00,10.402220,28.50355
4408.00,10.402760,28.50368
4409.00,10.401741,28.50292
4410.00,10.400513,28.50292
4411.00,10.400158,28.50327
4412.00,10.400647,28.50406
4413.00,10.400731,28.50419
4414.00,10.400502,28.50350
4415.00,10.400497,28.50478
4416.00,10.400361,28.50477
4417.00,10.400072,28.50339
4418.00,10.400415,28.50411
4419.00,10.400667,28.50431
4420.00,10.400713,28.50441
4421.00,10.400542,28.50335
4422.00,10.400451,28.50386
4423.00,10.401201,28.50386
4424.00,10.401081,28.50414
