"","sTN","s.dp...2"
"373",373,57.5093589333332
"374",374,57.3180106666664
"375",375,57.3107583999998
"376",376,57.2675237333332
"377",377,57.484254933333
"378",378,57.5428309333334
"379",379,57.6867605333332
"380",380,57.8602570666664
"381",381,58.1213386666662
"382",382,58.3863253333334
"383",383,58.4917621333332
"384",384,58.4903674666666
"385",385,58.2859093333332
"386",386,58.039053333333
"387",387,57.8412895999996
"388",388,57.6016858666668
"389",389,57.5299999999998
"390",390,57.6530095999998
"391",391,57.5916442666664
"392",392,57.6836922666662
"393",393,57.8011232
"394",394,57.61368
"395",395,57.7313898666662
"396",396,57.7587253333332
"397",397,57.9470053333332
"398",398,57.858304533333
"399",399,57.6259530666664
"400",400,57.6926181333332
"401",401,57.7972181333332
"402",402,57.4281893333334
"403",403,57.36264
"404",404,57.275891733333
"405",405,57.2019744
"406",406,56.8159306666666
"407",407,56.958744533333
"408",408,57.1899802666666
"409",409,57.2142474666664
"410",410,57.2761706666666
"411",411,57.2555296
"412",412,57.5210741333332
"413",413,57.5007119999998
"414",414,57.3302837333334
"415",415,57.0825909333334
"416",416,57.0940272
"417",417,57.5358575999998
"418",418,57.572955733333
"419",419,57.1643183999998
"420",420,57.2379567999998
"421",421,57.6265109333332
"422",422,57.7662565333332
"423",423,57.8602570666664
"424",424,57.9682042666664
"425",425,57.8870346666668
"426",426,57.6928970666664
"427",427,57.4655663999998
"428",428,57.4393466666664
"429",429,57.3715658666666
"430",430,57.4569194666666
"431",431,57.4990384
"432",432,57.544504533333
"433",433,57.4597087999998
"434",434,57.2371199999998
"435",435,57.1961167999998
"436",436,57.2270784
"437",437,57.1364250666666
"438",438,57.1464666666666
"439",439,57.1004426666662
"440",440,57.1141103999998
"441",441,57.0870538666664
"442",442,57.1160629333332
"443",443,56.9088154666666
"444",444,56.9540026666664
"445",445,57.0859381333334
"446",446,57.1188522666664
"447",447,57.1004426666662
"448",448,57.0103471999996
"449",449,56.7991946666662
"450",450,56.8309930666662
"451",451,57.0162047999998
"452",452,57.0471663999998
"453",453,57.1768703999998
"454",454,57.2081109333332
"455",455,57.095142933333
"456",456,56.9456346666666
"457",457,56.8770170666666
"458",458,56.7802272
"459",459,56.9531658666666
"460",460,57.1375408
"461",461,57.1464666666666
"462",462,57.078128
"463",463,57.0588816
"464",464,57.4008538666664
"465",465,57.4982015999998
"466",466,57.6410154666666
"467",467,57.9269221333332
"468",468,58.3096186666666
"469",469,58.3542479999998
"470",470,58.1417007999998
"471",471,58.1322170666666
"472",472,58.4281653333332
"473",473,58.4047349333334
"474",474,58.2825621333332
"475",475,58.309339733333
"476",476,58.1737781333334
"477",477,58.239048533333
"478",478,58.2875829333334
"479",479,58.2440693333332
"480",480,58.1023712
"481",481,57.755936
"482",482,57.7274848
"483",483,57.694291733333
"484",484,57.5224687999998
"485",485,57.3040639999998
"486",486,57.0945850666668
"487",487,56.9570709333332
"488",488,57.2234522666664
"489",489,57.5551039999998
"490",490,57.8594202666666
"491",491,58.0278959999996
"492",492,58.0170176
"493",493,57.9380794666666
"494",494,57.753704533333
"495",495,57.7774138666666
"496",496,57.7523098666664
"497",497,57.7567728
"498",498,57.7054490666664
"499",499,57.0731071999998
"500",500,56.6806479999996
"501",501,56.444949333333
"502",502,56.2457909333334
"503",503,56.2477434666668
"504",504,56.4000410666668
"505",505,56.5885999999996
"506",506,56.6234666666666
"507",507,56.5766058666664
"508",508,56.5830213333332
"509",509,56.9155098666664
"510",510,57.0700389333334
"511",511,57.1785439999996
"512",512,57.2934645333332
"513",513,57.3891386666668
"514",514,57.2929066666664
"515",515,57.0198309333334
"516",516,57.0753386666668
"517",517,57.0962586666664
"518",518,57.066691733333
"519",519,57.1040687999998
"520",520,57.1311253333332
"521",521,57.3910911999996
"522",522,57.4853706666666
"523",523,57.383002133333
"524",524,57.2929066666664
"525",525,57.3573402666668
"526",526,57.1860752
"527",527,57.0549765333332
"528",528,57.0287567999998
"529",529,57.1319621333332
"530",530,57.1113210666666
"531",531,56.9665546666664
"532",532,56.7986368
"533",533,56.8148149333332
"534",534,56.8284826666666
"535",535,56.987195733333
"536",536,57.2477194666666
"537",537,57.1950010666664
"538",538,57.1129946666664
"539",539,57.0728282666666
"540",540,57.1141103999998
"541",541,57.0044896
"542",542,57.2259626666664
"543",543,57.7673722666666
"544",544,58.2926037333332
"545",545,58.2669418666664
"546",546,57.9969344
"547",547,57.9986079999998
"548",548,58.1564842666668
"549",549,57.9774090666664
"550",550,57.5149376
"551",551,57.2371199999998
"552",552,57.3235893333334
"553",553,57.081754133333
"554",554,56.7788325333334
"555",555,56.6692117333332
"556",556,56.4388127999998
"557",557,56.2625269333332
"558",558,56.1729893333334
"559",559,56.3696373333334
"560",560,56.4424389333334
"561",561,56.4547119999998
"562",562,56.5824634666664
"563",563,56.555128
"564",564,56.5149615999998
"565",565,56.7417344
"566",566,56.9503765333332
